fonte,k_num,topico,ano,estimativa,ic_inf,ic_sup
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2013,0.2474612656610247,0.23471960507832598,0.26062182858035965
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2014,0.24799665821644692,0.23564705198387575,0.2604821211270989
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2015,0.24751937814994598,0.2354626271347104,0.25949706726138494
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2016,0.24971735159686095,0.2363048348994646,0.263723222645871
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2017,0.25738738840544273,0.2459568787041273,0.26962474457378605
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2018,0.2663411932622354,0.25418278282496376,0.2783886675574606
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2019,0.2706441945633561,0.2576517592982587,0.2832434700480237
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2020,0.26716401861985956,0.25309941370067013,0.28189031065776093
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2021,0.26397708340254955,0.24898483059665338,0.2794446138095147
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2022,0.2684735117106508,0.2510339318928361,0.2865531055371108
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2023,0.2740894539973223,0.25679706899881716,0.29103331690034895
composição fixa,5,"T5: Eleições, Partidos e Instituições Representativas",2024,0.2642716395750224,0.24732187765130462,0.2814997284071228
composição fixa,6,T6: Teoria e Pensamento Político,1984,0.3893460055721444,0.21621788819160048,0.5621810621066259
composição fixa,6,T6: Teoria e Pensamento Político,1985,0.3824838318323144,0.24321121806823104,0.520037081953326
composição fixa,6,T6: Teoria e Pensamento Político,1986,0.3757722549796487,0.2679650343096375,0.4824354628057465
composição fixa,6,T6: Teoria e Pensamento Político,1987,0.36919756543824384,0.28560422470200286,0.45222715347227016
composição fixa,6,T6: Teoria e Pensamento Político,1988,0.36274605363219625,0.2998471651488686,0.42607643298113274
composição fixa,6,T6: Teoria e Pensamento Político,1989,0.3564040099856023,0.30887096883050863,0.40460328903375975
composição fixa,6,T6: Teoria e Pensamento Político,1990,0.3501577249225586,0.3141372027353895,0.38646476027199017
composição fixa,6,T6: Teoria e Pensamento Político,1991,0.34399348886716147,0.3149597702064878,0.37285288356265117
composição fixa,6,T6: Teoria e Pensamento Político,1992,0.3378975922435075,0.31309887261834507,0.36259727044735235
composição fixa,6,T6: Teoria e Pensamento Político,1993,0.3318563254756931,0.30858495902733474,0.3541885889259042
composição fixa,6,T6: Teoria e Pensamento Político,1994,0.32585597898781477,0.30440194440832835,0.34695609826807733
composição fixa,6,T6: Teoria e Pensamento Político,1995,0.3198828432039689,0.2989456826231952,0.3398797033671911
composição fixa,6,T6: Teoria e Pensamento Político,1996,0.313923208548252,0.2948429551660055,0.3322506025778532
composição fixa,6,T6: Teoria e Pensamento Político,1997,0.3079633654447606,0.2906403410583378,0.32510161244965147
composição fixa,6,T6: Teoria e Pensamento Político,1998,0.3019896043175911,0.28554154180393926,0.31760144094997744
composição fixa,6,T6: Teoria e Pensamento Político,1999,0.29598821559084,0.279780738675278,0.3114307970152409
composição fixa,6,T6: Teoria e Pensamento Político,2000,0.2899454896886037,0.2736715045737508,0.3050967395756451
