ano,area_nome,nivel,titulos
2020,Antropologia / Arqueologia,Mestrado,305
2020,Antropologia / Arqueologia,Não informado,0
2020,Ciência Política / RI,Doutorado,153
2020,Ciência Política / RI,Mestrado,545
2020,Ciência Política / RI,Não informado,0
2020,Economia,Doutorado,226
2020,Economia,Mestrado,905
2020,Economia,Não informado,0
2020,Geografia,Doutorado,297
2020,Geografia,Mestrado,734
2020,Geografia,Não informado,0
2020,História,Doutorado,453
2020,História,Mestrado,1288
2020,História,Não informado,0
2020,Não identificado,Doutorado,1130
2020,Não identificado,Mestrado,3126
2020,Não identificado,Não informado,0
2020,Sociologia,Doutorado,347
2020,Sociologia,Mestrado,724
2020,Sociologia,Não informado,0
2021,Antropologia / Arqueologia,Doutorado,121
2021,Antropologia / Arqueologia,Mestrado,345
2021,Antropologia / Arqueologia,Não informado,0
2021,Ciência Política / RI,Doutorado,154
2021,Ciência Política / RI,Mestrado,622
2021,Ciência Política / RI,Não informado,0
2021,Economia,Doutorado,222
2021,Economia,Mestrado,1012
2021,Economia,Não informado,0
2021,Geografia,Doutorado,346
2021,Geografia,Mestrado,842
2021,Geografia,Não informado,0
2021,História,Doutorado,487
2021,História,Mestrado,1357
2021,História,Não informado,0
2021,Não identificado,Doutorado,1199
2021,Não identificado,Mestrado,3366
2021,Não identificado,Não informado,0
2021,Sociologia,Doutorado,378
2021,Sociologia,Mestrado,670
2021,Sociologia,Não informado,0
2022,Antropologia / Arqueologia,Doutorado,161
2022,Antropologia / Arqueologia,Mestrado,326
2022,Antropologia / Arqueologia,Não informado,0
2022,Ciência Política / RI,Doutorado,162
2022,Ciência Política / RI,Mestrado,653
2022,Ciência Política / RI,Não informado,0
2022,Economia,Doutorado,224
2022,Economia,Mestrado,993
2022,Economia,Não informado,0
2022,Geografia,Doutorado,348
2022,Geografia,Mestrado,922
2022,Geografia,Não informado,0
2022,História,Doutorado,483
2022,História,Mestrado,1503
2022,História,Não informado,0
2022,Não identificado,Doutorado,1339
2022,Não identificado,Mestrado,3188
2022,Não identificado,Não informado,0
2022,Sociologia,Doutorado,339
2022,Sociologia,Mestrado,600
2022,Sociologia,Não informado,0
2023,Antropologia / Arqueologia,Doutorado,137
2023,Antropologia / Arqueologia,Mestrado,388
2023,Antropologia / Arqueologia,Não informado,0
2023,Ciência Política / RI,Doutorado,177
2023,Ciência Política / RI,Mestrado,691
2023,Ciência Política / RI,Não informado,0
2023,Economia,Doutorado,277
2023,Economia,Mestrado,1075
2023,Economia,Não informado,0
2023,Geografia,Doutorado,418
2023,Geografia,Mestrado,982
2023,Geografia,Não informado,0
2023,História,Doutorado,592
2023,História,Mestrado,1321
2023,História,Não informado,0
2023,Não identificado,Doutorado,1625
2023,Não identificado,Mestrado,3653
2023,Não identificado,Não informado,0
2023,Sociologia,Doutorado,414
2023,Sociologia,Mestrado,704
2023,Sociologia,Não informado,0
2024,Antropologia / Arqueologia,Doutorado,187
2024,Antropologia / Arqueologia,Mestrado,398
2024,Antropologia / Arqueologia,Não informado,0
2024,Ciência Política / RI,Doutorado,216
2024,Ciência Política / RI,Mestrado,786
2024,Ciência Política / RI,Não informado,0
2024,Economia,Doutorado,264
2024,Economia,Mestrado,996
2024,Economia,Não informado,0
2024,Geografia,Doutorado,398
2024,Geografia,Mestrado,1111
2024,Geografia,Não informado,0
2024,História,Doutorado,527
2024,História,Mestrado,1334
2024,História,Não informado,0
2024,Não identificado,Doutorado,1555
2024,Não identificado,Mestrado,3397
2024,Não identificado,Não informado,0
2024,Sociologia,Doutorado,429
2024,Sociologia,Mestrado,755
2024,Sociologia,Não informado,0
